Data_Hora,Instancia,Algoritmo,Alpha,Iteracoes,Tamanho_Bloco,Semente,Tempo_s,Melhor_Custo
2026-07-04 15:28:35,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\C01-A.stp,reativo,0.2,500,50,2180048320,16.2202,88.0000
2026-07-04 15:28:53,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\C01-B.stp,reativo,0.5,500,50,1299680136,17.1350,118.0000
2026-07-04 15:29:11,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\C02-A.stp,reativo,0.1,500,50,1353889952,18.2530,153.0000
2026-07-04 15:29:29,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\C02-B.stp,reativo,0.3,500,50,2519328768,18.0842,191.0000
2026-07-04 15:29:47,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\C03-A.stp,reativo,0.3,500,50,3535017584,18.2033,700.0000
2026-07-04 15:31:50,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-JMP\K100.1.stp,reativo,0.3,500,50,335173816,2.1506,307285.0000
2026-07-04 15:31:52,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-JMP\K100.10.stp,reativo,0.5,500,50,2572026816,2.0748,409388.0000
2026-07-04 15:31:54,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-JMP\K100.2.stp,reativo,0.4,500,50,447337520,2.2196,280674.0000
2026-07-04 15:31:57,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-JMP\K100.3.stp,reativo,0.4,500,50,2761281520,2.7913,303351.0000
2026-07-04 15:32:00,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-JMP\K100.4.stp,reativo,0.2,500,50,1345751224,2.4574,292693.0000
2026-07-04 15:32:16,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-CRR\C01-A.stp,reativo,0.2,500,50,3886768224,16.6664,88.0000
2026-07-04 15:32:33,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-CRR\C01-B.stp,reativo,0.4,500,50,3446845040,16.7734,118.0000
2026-07-04 15:32:50,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-CRR\C02-A.stp,reativo,0.4,500,50,3121684856,16.6858,153.0000
2026-07-04 15:33:07,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-CRR\C02-B.stp,reativo,0.2,500,50,2724139672,16.3123,191.0000
2026-07-04 15:33:23,C:\Users\joaom\OneDrive\Documentos\Grafos\Trabalho02_DCC059\instances\PCSPG-CRR\C03-A.stp,reativo,0.4,500,50,1951186488,16.7929,704.0000
2026-07-05 22:12:31,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.1.stp,reativo,0.4,500,50,1079429336,0.9915,250118.0000
2026-07-05 22:12:32,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.10.stp,reativo,0.4,500,50,2088399436,0.9218,356491.0000
2026-07-05 22:12:33,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.2.stp,reativo,0.4,500,50,3027831036,0.9951,271201.0000
2026-07-05 22:12:34,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.3.stp,reativo,0.5,500,50,4039032236,1.1989,247904.0000
2026-07-05 22:12:35,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.4.stp,reativo,0.4,500,50,956947640,1.0858,255228.0000
2026-07-05 22:12:42,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-CRR\C01-A.stp,reativo,0.4,500,50,2062377840,7.3251,78.0000
2026-07-05 22:12:50,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-CRR\C01-B.stp,reativo,0.5,500,50,815971148,7.6815,102.0000
2026-07-05 22:12:59,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-CRR\C02-A.stp,reativo,0.5,500,50,4222190152,8.5792,134.0000
2026-07-05 22:13:07,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-CRR\C02-B.stp,reativo,0.3,500,50,4227141760,8.5961,177.0000
2026-07-05 22:13:16,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-CRR\C03-A.stp,reativo,0.4,500,50,4249623068,7.2830,690.0000
2026-07-05 22:19:34,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.1.stp,guloso,0,1,0,590213132,0.0018,307285.0000
2026-07-05 22:19:35,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.1.stp,randomizado,0.2,500,0,604172632,0.9637,287646.0000
2026-07-05 22:19:36,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.1.stp,randomizado,0.3,500,0,1579273732,0.9916,287603.0000
2026-07-05 22:19:38,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.1.stp,randomizado,0.4,500,0,2583406532,1.0311,240527.0000
2026-07-05 22:19:39,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.1.stp,reativo,0.4,500,50,3624073932,0.9908,248124.0000
2026-07-05 22:19:39,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.10.stp,guloso,0,1,0,333474836,0.0018,409388.0000
2026-07-05 22:19:39,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.10.stp,randomizado,0.2,500,0,345804436,0.8890,392960.0000
2026-07-05 22:19:40,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.10.stp,randomizado,0.3,500,0,1245809536,0.9261,369944.0000
2026-07-05 22:19:41,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.10.stp,randomizado,0.4,500,0,2181830336,0.9502,354030.0000
2026-07-05 22:19:42,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.10.stp,reativo,0.4,500,50,3140967636,0.9307,350015.0000
2026-07-05 22:19:42,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.2.stp,guloso,0,1,0,4083433736,0.0018,280674.0000
2026-07-05 22:19:43,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.2.stp,randomizado,0.2,500,0,4095345636,0.9581,274178.0000
2026-07-05 22:19:44,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.2.stp,randomizado,0.3,500,0,768972340,0.9888,271623.0000
2026-07-05 22:19:45,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.2.stp,randomizado,0.4,500,0,1768774240,1.0240,268048.0000
2026-07-05 22:19:46,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.2.stp,reativo,0.5,500,50,2801603140,0.9905,266086.0000
2026-07-05 22:19:46,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.3.stp,guloso,0,1,0,3805628540,0.0022,303351.0000
2026-07-05 22:19:47,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.3.stp,randomizado,0.2,500,0,3818642240,1.1480,263671.0000
2026-07-05 22:19:49,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.3.stp,randomizado,0.3,500,0,681811544,1.1673,266317.0000
2026-07-05 22:19:50,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.3.stp,randomizado,0.4,500,0,1860729544,1.2130,263759.0000
2026-07-05 22:19:51,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.3.stp,reativo,0.5,500,50,3083124744,1.1699,244887.0000
2026-07-05 22:19:51,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.4.stp,guloso,0,1,0,4265278244,0.0020,292693.0000
2026-07-05 22:19:52,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.4.stp,randomizado,0.2,500,0,4278836944,1.0247,259491.0000
2026-07-05 22:19:53,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.4.stp,randomizado,0.3,500,0,1019489348,1.0546,259676.0000
2026-07-05 22:19:54,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.4.stp,randomizado,0.4,500,0,2087128348,1.0923,244789.0000
2026-07-05 22:19:55,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.4.stp,reativo,0.5,500,50,3189537248,1.0589,258839.0000
2026-07-05 22:19:55,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.5.stp,guloso,0,1,0,4261988448,0.0022,384224.0000
2026-07-05 22:19:56,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.5.stp,randomizado,0.2,500,0,4274486048,1.0053,322689.0000
2026-07-05 22:19:57,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.5.stp,randomizado,0.3,500,0,997182152,1.0477,329960.0000
2026-07-05 22:19:59,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.5.stp,randomizado,0.4,500,0,2055072752,1.0959,333431.0000
2026-07-05 22:20:00,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.5.stp,reativo,0.5,500,50,3161261852,1.0459,314477.0000
2026-07-05 22:20:00,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.6.stp,guloso,0,1,0,4218627452,0.0018,344386.0000
2026-07-05 22:20:00,C:\Users\Heitor\Documents\Github\Trabalho02-Grafos\instances\PCSPG-JMP\K100.6.stp,randomizado,0.2,500,0,4229383152,0.8653,330646.0000
