Inst̢ncias;best;Literatura;Guloso;Randomizado alfa=0,2;Randomizado alfa=0,3;Randomizado alfa=0,4;Reativo
K100.1.stp;;;307285;287646;287603;240527;248124
K100.10.stp;;;409388;392960;369944;354030;350015
K100.2.stp;;;280674;274178;271623;268048;266086
K100.3.stp;;;303351;263671;266317;263759;244887
K100.4.stp;;;292693;259491;259676;244789;258839
K100.5.stp;;;384224;322689;329960;333431;314477
K100.6.stp;;;344386;330646;330680;256419;264041
K100.7.stp;;;391364;319960;299686;294514;295151
K100.8.stp;;;417596;374501;365937;354746;365865
K100.9.stp;;;360507;208547;207057;209545;208791
K100.stp;;;324587;267507;273589;265507;262093
K200.stp;;;579400;532372;533142;532941;535340
K400.1.stp;;;765852;714409;700858;678792;705526
K400.10.stp;;;652844;624195;626526;615095;627934
K400.2.stp;;;785185;737245;747309;736143;745333
C01-A.stp;;;102;78;78;78;78
C01-B.stp;;;148;97;109;102;109
C02-A.stp;;;153;153;145;145;145
C02-B.stp;;;194;191;177;177;177
C03-A.stp;;;723;700;700;697;687
C03-B.stp;;;881;841;844;842;832
C04-A.stp;;;936;841;841;847;830
C04-B.stp;;;1181;1131;1131;1121;1131
C05-A.stp;;;1322;1273;1277;1274;1279
C05-B.stp;;;1619;1596;1593;1589;1590
C06-A.stp;;;77;56;63;53;53
C06-B.stp;;;99;78;78;61;64
C07-A.stp;;;172;145;131;137;133
C07-B.stp;;;195;143;143;149;143
C08-A.stp;;;550;503;517;503;506
